Threat_Engineering_Category,Subcategory,Dependency,Maturity_Tag,Maturity_Level_subject,Result
Process,Intake,Engineering Prioritization,PO.1.1,"No defined procedures or standards around engineering prioritization of request, projects, or initiatives. All Engineering tasks have the same priority.",
Process,Intake,Engineering Triage,PO.1.2,No defined triage process for open requests to the engineering team. Requests are backlogs and worked on as resources become available.,
Process,Intake,Engineering Tasks,PO.1.3,No defined detection inputs,
Process,Engineering Portfolio,New Project Intake,PO.1.4,No process or strategy around new project intakes. Large projects are not reviewed and just given to the engineering team without much input. We call this the throw it over the fence method. ,
Process,Engineering Portfolio,Technical Debts,PO.1.5,No accountabliltiy or management of the technical debts. Operationalizing detections or detection tooling is inconsistent. Some tools are never fully utilized. ,
Process,Engineering Portfolio,Engineering Criteria / Scope of Work,PO.1.6,"New requested engineering work has no required detail, and requests vary heavily in information provided.  ",
Process,Engineering Portfolio,Engineering Deliverables,PO.1.7,No established KPIs for the detection function,
Process,Detection Management,Detection Development Standards,PO.1.8,No defined standards for detection development. All detection is ad-hoc and varies greatly in development standards.,
Process,Detection Management,Detection Health Monitoring,PO.1.9,"No process for monitoring detection health such as FP, TP, FN and Trigger Rates. Tuning is ad-hoc external feedback only. ",
Process,Detection Management,Detection Acceptance Criteria ,PO.1.10,No standardized acceptance critera for detection development,
Process,Detection Management,Detection Centralization,PO.1.11,"Detections are not centralized, there is a juggling of multiple tools to ensure detection usecases are managed",
Process,Detection Management,Detection Lifecycle ,PO.1.12,No defined detection lifecycle exists,
Process,Detection Management,Detection Reviews,PO.1.13,"Detection reviews are not implemented, only happen on an ad-hoc basis as problems arise",
Process,Detection Management,Detection Tuning,PO.1.14,Detection tuning is only implemented on an ad-hoc basis as problems arise,
Process,Detection Management,Detection Decommission Standards,PO.1.15,"Decommissioning detections rarely happens, reviews are not proactive",
Process,Detection-As-Code,Detection Versioning,PO.1.16,Detection versioning is not recorded,
Process,Detection-As-Code,Detection Logic Modularity,PO.1.17,"Detection code is not modular, cannot be altered at scale, and/or is not re-useable ",
Process,Detection-As-Code,Test Driven Detection Pipeline,PO.1.18,"There is not a test driven detection pipeline, detections are pushed immediately to production on live datasets ",
Process,Operational Engagements,Threat Intelligence Operations,PO.1.19,There is not a defined engagement for Threat Intelligence Operations/Engagements,
Process,Operational Engagements,Threat Hunting Engagements,PO.1.20,There is not a defined engagement for Threat Hunting Operations/Engagements,
Process,Operational Engagements,Offensive Security Operations,PO.1.21,There is not a defined engagement for Offensive Security Operations,
Process,Operational Engagements,Purple Team Engagement,PO.1.22,There is not a defined engagement for Purple Team Engagements,
Process,Operational Engagements,Incident Response Operations ,PO.1.23,There is not a defined engagement model or operations around incident response requirements,
Process,Intake,Engineering Prioritization,PO.2.1,"Some defined and documentated procedures around requests, projects, and iniatives. Would be considered tribal knowledge, and not something that is routinely tracked. Assigning Priority is still somewhat ad-hoc. ",
